size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,city_ الدمام,city_ الرياض,city_ جدة,front_4 شوارع,front_جنوب,front_جنوب شرقي,front_جنوب غربي,front_شرق,front_شمال,front_شمال شرقي,front_شمال غربي,front_غرب
298,0,3,4,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,45000,False,True,False,False,False,False,False,True,False,False,False,False
300,0,6,5,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,40000,False,True,False,False,True,False,False,False,False,False,False,False
250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000,False,True,False,False,False,False,False,True,False,False,False,False
300,6,4,5,3,1,1,1,1,0,1,0,0,1,1,1,0,0,0,120000,False,True,False,False,True,False,False,False,False,False,False,False
230,0,3,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000,False,True,False,False,False,False,False,True,False,False,False,False
228,0,4,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,150000,False,True,False,False,False,False,False,True,False,False,False,False
200,4,5,5,2,1,1,1,1,1,1,1,0,1,0,1,1,0,1,110000,False,True,False,False,False,False,False,False,True,False,False,False
350,4,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,1,125000,False,True,False,False,False,False,False,False,False,True,False,False
300,7,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,125000,False,True,False,False,False,False,True,False,False,False,False,False
298,0,5,5,3,1,1,0,1,0,0,1,0,1,0,1,1,0,0,50000,False,True,False,False,False,False,False,True,False,False,False,False
300,0,4,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,45000,False,True,False,False,False,False,False,False,True,False,False,False
300,0,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000,False,True,False,False,True,False,False,False,False,False,False,False
250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000,False,True,False,False,False,False,False,True,False,False,False,False
375,3,5,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,110000,False,True,False,False,False,False,False,True,False,False,False,False
300,15,7,5,2,0,1,1,1,0,0,0,0,1,0,1,1,0,0,50000,False,True,False,False,False,False,False,True,False,False,False,False
312,10,4,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,1,85000,False,True,False,False,False,False,False,True,False,False,False,False
350,2,5,5,2,1,0,1,1,0,1,0,0,1,1,0,1,0,1,90000,False,True,False,False,False,False,False,False,False,False,False,True
300,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000,False,True,False,False,True,False,False,False,False,False,False,False
253,5,4,5,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000,False,True,False,False,False,False,False,True,False,False,False,False
500,0,7,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,160000,False,True,False,False,False,False,False,False,False,False,False,True
300,0,4,4,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,85000,False,True,False,False,False,False,False,False,False,False,False,True
352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,False,True,False,False,True,False,False,False,False,False,False,False
225,0,4,3,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,100000,False,True,False,False,False,False,False,True,False,False,False,False
200,8,4,5,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,90000,False,True,False,False,False,False,False,False,True,False,False,False
220,8,4,4,3,1,1,0,1,0,1,0,0,1,0,0,1,0,0,90000,False,True,False,False,True,False,False,False,False,False,False,False
300,0,4,5,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,85000,False,True,False,False,True,False,False,False,False,False,False,False
280,0,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42000,False,True,False,False,False,False,False,False,False,True,False,False
270,30,3,5,3,1,1,1,1,0,1,0,0,1,0,1,1,0,0,70000,False,True,False,False,False,False,False,True,False,False,False,False
312,4,5,5,2,1,1,0,1,1,1,0,0,1,0,0,1,1,0,90000,False,True,False,False,True,False,False,False,False,False,False,False
375,11,4,5,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,95000,False,True,False,False,False,False,False,True,False,False,False,False
300,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,1,1,120000,False,True,False,False,False,False,False,False,True,False,False,False
450,3,7,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,60000,False,True,False,False,False,False,False,True,False,False,False,False
200,7,3,5,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31000,False,True,False,False,False,False,False,False,True,False,False,False
384,0,5,5,2,1,1,1,1,0,0,1,0,0,0,0,1,0,1,80000,False,True,False,False,False,False,False,False,True,False,False,False
250,0,5,5,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,55000,False,True,False,False,False,False,False,False,False,False,False,True
425,33,4,3,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,80000,False,True,False,False,False,False,False,False,True,False,False,False
300,0,4,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,37000,False,True,False,False,False,False,True,False,False,False,False,False
360,0,5,5,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,110000,False,True,False,False,True,False,False,False,False,False,False,False
312,0,3,4,2,1,1,0,1,0,0,1,0,1,0,0,1,1,0,65000,False,True,False,False,True,False,False,False,False,False,False,False
390,5,7,5,4,1,1,1,1,0,1,0,0,1,0,0,1,0,0,130000,False,True,False,False,False,False,False,False,True,False,False,False
280,3,4,3,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,3300,False,True,False,False,True,False,False,False,False,False,False,False
200,2,6,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000,False,True,False,False,True,False,False,False,False,False,False,False
230,0,5,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,85000,False,True,False,False,False,False,False,True,False,False,False,False
360,0,4,3,2,1,1,0,0,1,1,0,1,1,0,0,1,0,0,75000,False,True,False,True,False,False,False,False,False,False,False,False
312,2,3,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,145000,False,True,False,False,False,False,False,False,True,False,False,False
460,4,5,5,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,75000,False,True,False,False,False,False,False,True,False,False,False,False
250,0,5,5,2,0,1,0,1,0,0,0,0,1,0,1,1,0,0,50000,False,True,False,False,True,False,False,False,False,False,False,False
350,0,5,5,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,55000,False,True,False,False,False,False,False,False,False,True,False,False
450,0,5,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,60000,False,True,False,False,False,False,False,False,True,False,False,False
500,14,4,5,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,45000,False,True,False,False,False,True,False,False,False,False,False,False
260,0,3,3,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,100000,False,True,False,False,False,False,False,True,False,False,False,False
205,0,5,5,2,0,1,0,1,0,1,0,0,1,0,1,1,1,0,140000,False,True,False,False,True,False,False,False,False,False,False,False
250,2,4,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,85000,False,True,False,False,False,False,False,True,False,False,False,False
460,4,1,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,75000,False,True,False,False,False,False,False,True,False,False,False,False
200,3,7,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000,False,True,False,False,True,False,False,False,False,False,False,False
400,0,5,5,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,60000,False,True,False,False,False,False,False,False,False,False,False,True
300,10,4,3,2,1,1,1,1,0,0,0,0,1,0,0,1,0,0,65000,False,True,False,False,False,False,False,False,True,False,False,False
375,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,120000,False,True,False,False,True,False,False,False,False,False,False,False
300,2,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000,False,True,False,False,False,False,False,True,False,False,False,False
300,0,4,5,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,38000,False,True,False,False,False,False,False,False,True,False,False,False
340,0,3,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,55000,False,True,False,False,False,True,False,False,False,False,False,False
250,2,7,4,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,110000,False,True,False,False,False,False,False,True,False,False,False,False
300,15,5,4,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0,120000,False,True,False,False,True,False,False,False,False,False,False,False
450,13,7,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,120000,False,True,False,False,False,False,False,False,False,True,False,False
500,10,5,5,5,1,1,1,1,0,1,1,0,1,1,0,1,1,0,150000,False,True,False,False,False,False,False,False,False,False,False,True
290,0,4,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,60000,False,True,False,False,False,False,False,False,False,False,False,True
400,15,3,3,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,80000,False,True,False,False,True,False,False,False,False,False,False,False
270,0,4,5,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0,100000,False,True,False,False,False,False,False,True,False,False,False,False
200,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,False,True,False,False,False,False,False,False,True,False,False,False
200,0,4,5,2,1,1,1,1,0,1,0,0,0,0,1,0,0,0,150000,False,True,False,False,False,False,False,False,False,False,False,True
300,0,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,48000,False,True,False,False,False,False,False,False,False,True,False,False
250,2,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000,False,True,False,False,True,False,False,False,False,False,False,False
300,2,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000,False,True,False,False,True,False,False,False,False,False,False,False
375,7,4,5,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,65000,False,True,False,False,False,False,False,False,False,False,False,True
250,0,5,4,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,80000,False,True,False,False,False,False,False,False,True,False,False,False
300,0,5,5,3,1,0,1,1,0,1,1,0,1,0,0,1,0,0,140000,False,True,False,False,True,False,False,False,False,False,False,False
450,2,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,60000,False,True,False,False,False,False,False,True,False,False,False,False
300,0,4,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,70000,False,True,False,False,False,False,False,False,True,False,False,False
320,3,6,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,35000,False,True,False,False,False,False,True,False,False,False,False,False
375,2,4,4,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,130000,False,True,False,False,True,False,False,False,False,False,False,False
300,0,4,2,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,80000,False,True,False,False,True,False,False,False,False,False,False,False
460,20,5,5,3,1,1,0,1,0,1,1,0,1,1,0,1,0,0,100000,False,True,False,False,False,False,False,True,False,False,False,False
340,0,4,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,45000,False,True,False,False,False,True,False,False,False,False,False,False
330,15,7,5,3,1,1,0,1,0,1,1,0,1,0,1,1,0,0,75000,False,True,False,False,False,False,False,False,True,False,False,False
400,0,6,5,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000,False,True,False,False,False,False,False,False,True,False,False,False
300,0,2,5,3,1,0,0,0,0,1,0,0,1,0,1,0,0,0,80000,False,True,False,False,False,False,False,True,False,False,False,False
206,0,4,4,2,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000,False,True,False,False,False,False,False,False,True,False,False,False
300,0,6,5,2,0,1,0,1,0,0,1,0,1,0,0,1,0,1,42000,False,True,False,False,True,False,False,False,False,False,False,False
375,7,3,5,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,140000,False,True,False,False,False,False,False,True,False,False,False,False
450,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,False,True,False,False,False,False,False,True,False,False,False,False
290,0,5,5,3,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000,False,True,False,False,True,False,False,False,False,False,False,False
394,0,4,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,140000,False,True,False,False,False,False,False,False,False,False,False,True
312,0,4,5,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,100000,False,True,False,False,False,False,False,False,True,False,False,False
416,0,4,4,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,160000,False,True,False,False,False,False,False,True,False,False,False,False
270,5,3,4,2,1,1,1,1,0,1,0,1,1,0,1,1,0,0,125000,False,True,False,False,False,False,False,False,True,False,False,False
230,0,4,3,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,80000,False,True,False,False,False,False,False,False,True,False,False,False
300,0,5,4,2,1,1,0,1,0,1,1,0,1,0,1,0,0,0,85000,False,True,False,False,False,False,False,True,False,False,False,False
280,10,7,4,2,1,1,0,1,0,0,0,0,1,0,1,1,0,0,35000,False,True,False,False,False,False,False,False,True,False,False,False
375,10,4,5,4,1,1,1,1,1,1,1,0,1,0,0,1,0,0,105000,False,True,False,False,False,False,False,False,False,False,False,True
320,7,5,4,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000,False,True,False,False,False,False,False,False,False,False,False,True
300,0,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,45000,False,True,False,False,False,False,False,False,False,False,False,True
375,8,4,5,2,1,1,0,1,0,1,1,0,0,0,0,1,0,0,100000,False,True,False,False,True,False,False,False,False,False,False,False
250,7,4,5,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,95000,False,True,False,False,False,False,False,False,False,True,False,False
264,0,7,5,3,1,1,0,1,0,1,1,0,1,0,1,1,0,1,50000,False,True,False,False,False,False,False,True,False,False,False,False
450,12,7,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,130000,False,True,False,False,False,False,False,False,True,False,False,False
360,6,7,5,2,0,1,1,1,0,1,1,0,1,0,0,1,0,1,80000,False,True,False,False,True,False,False,False,False,False,False,False
206,2,4,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,60000,False,True,False,False,False,False,False,False,True,False,False,False
318,7,4,4,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,85000,False,True,False,False,False,False,False,False,False,False,False,True
400,8,7,5,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,60000,False,True,False,False,False,True,False,False,False,False,False,False
275,10,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,60000,False,True,False,False,True,False,False,False,False,False,False,False
227,0,5,5,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,55000,False,True,False,False,False,False,False,True,False,False,False,False
313,6,5,5,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,65000,False,True,False,False,False,False,False,False,False,False,False,True
360,10,5,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,75000,False,True,False,False,False,False,False,False,True,False,False,False
300,15,4,4,2,1,1,0,0,0,1,0,1,1,0,1,1,0,0,90000,False,True,False,False,False,False,False,False,True,False,False,False
350,0,5,5,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,45000,False,True,False,False,False,False,False,False,True,False,False,False
290,0,5,5,2,1,1,1,1,1,1,0,0,1,0,0,1,1,0,170000,False,True,False,False,False,False,False,False,True,False,False,False
420,3,4,4,2,1,1,0,0,0,1,0,1,1,0,0,1,0,1,90000,False,True,False,False,False,False,False,False,False,False,False,True
250,5,3,5,2,1,1,1,1,1,1,0,0,1,0,1,1,0,0,155000,False,True,False,False,False,False,False,False,True,False,False,False
430,2,5,5,2,1,1,1,1,0,0,1,0,1,0,0,0,0,0,65000,False,True,False,False,False,False,False,False,True,False,False,False
267,3,3,5,2,1,1,1,1,0,1,0,0,0,0,1,1,0,0,100000,False,True,False,False,True,False,False,False,False,False,False,False
312,0,5,5,2,1,1,1,1,0,1,0,0,1,1,0,1,0,0,120000,False,True,False,False,False,False,False,False,True,False,False,False
250,0,3,5,2,1,1,1,1,1,1,0,0,1,0,1,1,0,0,110000,False,True,False,False,True,False,False,False,False,False,False,False
300,0,6,4,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,55000,False,True,False,False,True,False,False,False,False,False,False,False
300,0,4,4,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,80000,False,True,False,False,True,False,False,False,False,False,False,False
390,5,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,150000,False,True,False,False,False,False,False,False,False,False,True,False
375,10,5,5,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,65000,False,True,False,False,True,False,False,False,False,False,False,False
440,0,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,110000,False,True,False,False,True,False,False,False,False,False,False,False
240,14,3,4,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0,70000,False,True,False,False,False,False,False,False,False,False,False,True
300,0,5,5,5,1,0,1,1,0,1,0,0,0,0,0,0,0,0,125000,False,True,False,False,False,False,False,True,False,False,False,False
270,0,7,5,5,1,1,1,1,1,1,1,0,1,0,0,1,1,0,150000,False,True,False,False,False,False,False,False,True,False,False,False
300,0,4,5,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,100000,False,True,False,False,True,False,False,False,False,False,False,False
360,6,7,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,36000,False,True,False,False,False,False,False,False,False,True,False,False
245,0,4,5,3,1,1,0,1,0,0,0,0,1,0,1,1,0,0,40000,False,True,False,False,False,False,False,True,False,False,False,False
420,0,7,5,3,1,1,0,1,0,0,1,0,1,0,0,1,0,1,75000,False,True,False,False,False,False,False,False,True,False,False,False
300,3,5,5,2,1,0,1,1,0,0,0,0,1,0,1,1,0,0,70000,False,True,False,False,False,False,False,False,True,False,False,False
350,12,7,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,85000,False,True,False,False,False,False,False,False,False,False,False,True
500,35,5,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,32000,False,True,False,False,False,False,False,False,False,False,True,False
375,18,6,5,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,56000,False,True,False,False,True,False,False,False,False,False,False,False
200,4,5,5,2,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000,False,True,False,False,True,False,False,False,False,False,False,False
240,0,4,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,40000,False,True,False,False,False,False,False,True,False,False,False,False
200,0,5,5,2,1,0,0,0,0,1,0,0,1,0,1,1,0,0,120000,False,True,False,False,False,False,False,False,True,False,False,False
270,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3200,False,True,False,False,False,False,False,False,True,False,False,False
